file,path,line_no,line,reasons,is_good_breakpoint,has_for,has_while,has_if,has_else,has_indexing,has_comparison,reason_count,line_length,num_ops,num_parens,num_tokens
search_rotated_array.py,data/raw/python/search_rotated_array.py,1,"def search(nums: list[int], target: int) -> int:",indexing;comparison,1,0,0,0,0,1,1,2,48,2,4,7
search_rotated_array.py,data/raw/python/search_rotated_array.py,5,while left <= right:,while_loop;comparison,1,0,1,0,0,0,1,2,20,2,0,4
search_rotated_array.py,data/raw/python/search_rotated_array.py,7,if nums[mid] == target:,if;indexing;comparison,1,0,0,1,0,1,1,3,23,2,2,4
search_rotated_array.py,data/raw/python/search_rotated_array.py,10,if nums[left] <= nums[mid]:,if;indexing;comparison,1,0,0,1,0,1,1,3,27,2,4,4
search_rotated_array.py,data/raw/python/search_rotated_array.py,11,if nums[left] <= target < nums[mid]:,if;indexing;comparison,1,0,0,1,0,1,1,3,36,3,4,6
search_rotated_array.py,data/raw/python/search_rotated_array.py,13,else:,else,0,0,0,0,1,0,0,1,5,0,0,1
search_rotated_array.py,data/raw/python/search_rotated_array.py,15,else:,else,0,0,0,0,1,0,0,1,5,0,0,1
search_rotated_array.py,data/raw/python/search_rotated_array.py,17,if nums[mid] < target <= nums[right]:,if;indexing;comparison,1,0,0,1,0,1,1,3,37,3,4,6
search_rotated_array.py,data/raw/python/search_rotated_array.py,19,else:,else,0,0,0,0,1,0,0,1,5,0,0,1
max_depth.py,data/raw/python/max_depth.py,9,"def maxDepth(self, root: Optional[TreeNode]) -> int:",indexing;comparison,1,0,0,0,0,1,1,2,52,2,4,6
max_depth.py,data/raw/python/max_depth.py,10,if not root:,if,1,0,0,1,0,0,0,1,12,0,0,3
house_robber.py,data/raw/python/house_robber.py,2,"def rob(self, nums: list[int]) -> int:",indexing;comparison,1,0,0,0,0,1,1,2,38,2,4,6
house_robber.py,data/raw/python/house_robber.py,3,"# DP (1D optimized): keep two values for prev two states (prev=dp[i-2], curr=dp[i-1])",indexing,0,1,0,0,0,1,0,1,85,4,8,13
house_robber.py,data/raw/python/house_robber.py,4,# For each house choose max(skip current -> curr) or rob current -> prev + n,comparison,0,0,0,0,0,0,1,1,76,5,2,16
house_robber.py,data/raw/python/house_robber.py,7,for n in nums:,for_loop,1,1,0,0,0,0,0,1,14,0,0,4
clone_graph.py,data/raw/python/clone_graph.py,10,"def cloneGraph(self, node: Optional['Node']) -> Optional['Node']:",indexing;comparison,1,0,0,0,0,1,1,2,65,2,6,6
clone_graph.py,data/raw/python/clone_graph.py,14,if node in oldToNew:,if,1,0,0,1,0,0,0,1,20,0,0,4
clone_graph.py,data/raw/python/clone_graph.py,15,return oldToNew[node],indexing,0,0,0,0,0,1,0,1,21,0,2,2
clone_graph.py,data/raw/python/clone_graph.py,18,oldToNew[node] = copy,indexing,0,0,0,0,0,1,0,1,21,1,2,3
clone_graph.py,data/raw/python/clone_graph.py,19,for nei in node.neighbors:,for_loop,1,1,0,0,0,0,0,1,26,0,0,4
binary_search_template_2.py,data/raw/python/binary_search_template_2.py,1,"def binary_search(nums: list[int], target: int) -> int:",indexing;comparison,1,0,0,0,0,1,1,2,55,2,4,7
binary_search_template_2.py,data/raw/python/binary_search_template_2.py,2,"# Template 2 (left < right): operate on [left, right) with right = len(nums)",comparison,0,0,0,0,0,0,1,1,76,2,6,14
binary_search_template_2.py,data/raw/python/binary_search_template_2.py,5,while left < right:,while_loop;comparison,1,0,1,0,0,0,1,2,19,1,0,4
binary_search_template_2.py,data/raw/python/binary_search_template_2.py,7,if nums[mid] < target:,if;indexing;comparison,1,0,0,1,0,1,1,3,22,1,2,4
binary_search_template_2.py,data/raw/python/binary_search_template_2.py,9,else:,else,0,0,0,0,1,0,0,1,5,0,0,1
binary_search_template_2.py,data/raw/python/binary_search_template_2.py,11,# left is the first index where nums[left] >= target (if in range),indexing;comparison,1,0,0,1,0,1,1,2,66,2,4,13
binary_search_template_2.py,data/raw/python/binary_search_template_2.py,12,if left < len(nums) and nums[left] == target:,if;indexing;comparison,1,0,0,1,0,1,1,3,45,3,4,8
number_of_islands.py,data/raw/python/number_of_islands.py,2,"def numIslands(self, grid: List[List[str]]) -> int:",indexing;comparison,1,0,0,0,0,1,1,2,51,2,6,6
