file,path,line_no,line,reasons,is_good_breakpoint,has_for,has_while,has_if,has_else,has_indexing,has_comparison,reason_count,line_length,num_ops,num_parens,num_tokens
search_rotated_array.go,data/raw/go/search_rotated_array.go,8,for left <= right {,for_loop;comparison,1,1,0,0,0,0,1,2,19,2,1,5
search_rotated_array.go,data/raw/go/search_rotated_array.go,10,if nums[mid] == target {,if;indexing;comparison,1,0,0,1,0,1,1,3,24,2,3,5
search_rotated_array.go,data/raw/go/search_rotated_array.go,13,if nums[left] <= nums[mid] {,if;indexing;comparison,1,0,0,1,0,1,1,3,28,2,5,5
search_rotated_array.go,data/raw/go/search_rotated_array.go,14,if nums[left] <= target && target < nums[mid] {,if;indexing;comparison,1,0,0,1,0,1,1,3,47,5,5,9
search_rotated_array.go,data/raw/go/search_rotated_array.go,20,if nums[mid] < target && target <= nums[right] {,if;indexing;comparison,1,0,0,1,0,1,1,3,48,5,5,9
max_depth.go,data/raw/go/max_depth.go,10,if root == nil {,if;comparison,1,0,0,1,0,0,1,2,16,2,1,5
max_depth.go,data/raw/go/max_depth.go,18,for stack.Len() > 0 {,for_loop;comparison,1,1,0,0,0,0,1,2,21,1,3,5
max_depth.go,data/raw/go/max_depth.go,22,node := pair[0].(*TreeNode),indexing,0,0,0,0,0,1,0,1,27,2,4,3
max_depth.go,data/raw/go/max_depth.go,23,depth := pair[1].(int),indexing,0,0,0,0,0,1,0,1,22,1,4,3
max_depth.go,data/raw/go/max_depth.go,25,if node != nil {,if;comparison,1,0,0,1,0,0,1,2,16,2,1,5
max_depth.go,data/raw/go/max_depth.go,36,if a > b {,if;comparison,1,0,0,1,0,0,1,2,10,1,1,5
binary_tree_traversal.go,data/raw/go/binary_tree_traversal.go,14,if node == nil {,if;comparison,1,0,0,1,0,0,1,2,16,2,1,5
binary_tree_traversal.go,data/raw/go/binary_tree_traversal.go,18,if len(res) == depth {,if;comparison,1,0,0,1,0,0,1,2,22,2,3,5
binary_tree_traversal.go,data/raw/go/binary_tree_traversal.go,22,"res[depth] = append(res[depth], node.Val)",indexing,0,0,0,0,0,1,0,1,41,1,6,4
number_of_islands.go,data/raw/go/number_of_islands.go,3,"rows, cols := len(grid), len(grid[0])",indexing,0,0,0,0,0,1,0,1,37,1,6,5
number_of_islands.go,data/raw/go/number_of_islands.go,8,if r < 0 || c < 0 || r >= rows ||,if;comparison,1,0,0,1,0,0,1,2,33,10,0,13
number_of_islands.go,data/raw/go/number_of_islands.go,9,c >= cols || grid[r][c] == '0' {,indexing;comparison,1,0,0,0,0,1,1,2,32,6,5,8
number_of_islands.go,data/raw/go/number_of_islands.go,12,grid[r][c] = '0',indexing,0,0,0,0,0,1,0,1,16,1,4,3
number_of_islands.go,data/raw/go/number_of_islands.go,13,"for _, dir := range directions {",for_loop,1,1,0,0,0,0,0,1,32,1,1,7
number_of_islands.go,data/raw/go/number_of_islands.go,14,"dfs(r+dir[0], c+dir[1])",indexing,0,0,0,0,0,1,0,1,23,2,6,2
number_of_islands.go,data/raw/go/number_of_islands.go,18,for r := 0; r < rows; r++ {,for_loop;comparison,1,1,0,0,0,0,1,2,27,4,1,9
number_of_islands.go,data/raw/go/number_of_islands.go,19,for c := 0; c < cols; c++ {,for_loop;comparison,1,1,0,0,0,0,1,2,27,4,1,9
number_of_islands.go,data/raw/go/number_of_islands.go,20,if grid[r][c] == '1' {,if;indexing;comparison,1,0,0,1,0,1,1,3,22,2,5,5
binary_search_template_2.go,data/raw/go/binary_search_template_2.go,3,// BinarySearch implements template-2 binary search (left < right condition).,comparison,0,0,0,0,0,0,1,1,77,4,2,10
binary_search_template_2.go,data/raw/go/binary_search_template_2.go,7,if len(nums) == 0 {,if;comparison,1,0,0,1,0,0,1,2,19,2,3,5
binary_search_template_2.go,data/raw/go/binary_search_template_2.go,11,for left < right {,for_loop;comparison,1,1,0,0,0,0,1,2,18,1,1,5
binary_search_template_2.go,data/raw/go/binary_search_template_2.go,13,if nums[mid] < target {,if;indexing;comparison,1,0,0,1,0,1,1,3,23,1,3,5
binary_search_template_2.go,data/raw/go/binary_search_template_2.go,19,if nums[left] == target {,if;indexing;comparison,1,0,0,1,0,1,1,3,25,2,3,5
clone_graph.go,data/raw/go/clone_graph.go,10,oldToNew := make(map[*Node]*Node),indexing,0,0,0,0,0,1,0,1,33,3,4,3
clone_graph.go,data/raw/go/clone_graph.go,14,if node == nil {,if;comparison,1,0,0,1,0,0,1,2,16,2,1,5
clone_graph.go,data/raw/go/clone_graph.go,18,"if _, found := oldToNew[node]; found {",if;indexing,1,0,0,1,0,1,0,2,38,1,3,7
clone_graph.go,data/raw/go/clone_graph.go,19,return oldToNew[node],indexing,0,0,0,0,0,1,0,1,21,0,2,2
clone_graph.go,data/raw/go/clone_graph.go,23,oldToNew[node] = copy,indexing,0,0,0,0,0,1,0,1,21,1,2,3
clone_graph.go,data/raw/go/clone_graph.go,24,"for _, nei := range node.Neighbors {",for_loop,1,1,0,0,0,0,0,1,36,1,1,7
house_robber.go,data/raw/go/house_robber.go,4,for i := 0; i <= n; i++ {,for_loop;comparison,1,1,0,0,0,0,1,2,25,5,1,9
house_robber.go,data/raw/go/house_robber.go,5,memo[i] = -1,indexing,0,0,0,0,0,1,0,1,12,2,2,3
house_robber.go,data/raw/go/house_robber.go,10,if i >= len(nums) {,if;comparison,1,0,0,1,0,0,1,2,19,2,3,5
house_robber.go,data/raw/go/house_robber.go,13,if memo[i] != -1 {,if;indexing;comparison,1,0,0,1,0,1,1,3,18,3,3,5
house_robber.go,data/raw/go/house_robber.go,14,return memo[i],indexing,0,0,0,0,0,1,0,1,14,0,2,2
house_robber.go,data/raw/go/house_robber.go,16,"memo[i] = max(dfs(i+1), nums[i] + dfs(i+2))",indexing,0,0,0,0,0,1,0,1,43,4,10,6
